H,H,H,H,H,H,H,H,H,H,H,H
2.322,6.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.324,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.657,6.81,6.81,1.5,1.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.633,1.5,6.55,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.633,0.5,6.55,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.482,1.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.482,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.908,15.39,6.82,6.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.912,6.82,6.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.954,12.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.973
