H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
1.601,-14.0,5.983,5.983,5.983,5.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.601,5.983,5.983,5.983,5.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.716,-14.0,0.0,0.0,0.0,0.0,0.0,3.201,8.539,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.716,0.0,0.0,0.0,0.0,0.0,8.539,3.201,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.716,-14.0,0.0,0.0,0.0,0.0,0.0,3.201,8.539,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.716,0.0,0.0,0.0,0.0,0.0,8.539,3.201,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.157,5.68,7.987,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,1.866,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.863,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044,-14.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.456,11.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.451
