H,H,H,H,H,H,H,H,H,H,H
2.011,-14.0,5.201,5.201,0.0,0.0,6.931,6.931,0.0,0.0,0.0
0.0,2.011,5.201,5.201,0.0,0.0,6.931,6.931,0.0,0.0,0.0
0.0,0.0,2.011,-14.0,0.0,0.0,0.0,0.0,6.931,6.931,0.0
0.0,0.0,0.0,2.011,0.0,0.0,0.0,0.0,6.931,6.931,0.0
0.0,0.0,0.0,0.0,6.808,5.891,0.0,0.0,0.0,0.0,0.75
0.0,0.0,0.0,0.0,0.0,8.105,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.404,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.404,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.404,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.404,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.903
