H,H,H,H,H,H,H,H,H,H,H,H,H
6.783,5.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0
0.0,8.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.885,-14.0,0.0,0.0,2.495,7.958,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.885,0.0,0.0,7.958,2.495,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.885,-14.0,0.0,0.0,2.495,7.958,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.885,0.0,0.0,7.958,2.495,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.704,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.704,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.704,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.704,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.892,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.415,11.11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416
