H,H,H,H,H,H,H,H,H,H,H
7.845,8.429,8.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.238,1.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.358,-14.0,0.0,0.0,5.335,5.335,0.0,0.0
0.0,0.0,0.0,0.0,3.358,0.0,0.0,5.335,5.335,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.358,-14.0,0.0,0.0,5.335,5.335
0.0,0.0,0.0,0.0,0.0,0.0,3.358,0.0,0.0,5.335,5.335
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,-14.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87
