H,H,H,H,H,H,H,H,H,H,H
1.196,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022
0.0,1.196,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022
0.0,0.0,1.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.022
0.0,0.0,0.0,1.196,-14.0,-14.0,0.0,0.0,0.0,0.0,7.022
0.0,0.0,0.0,0.0,1.196,-14.0,0.0,0.0,0.0,0.0,7.022
0.0,0.0,0.0,0.0,0.0,1.196,0.0,0.0,0.0,0.0,7.022
0.0,0.0,0.0,0.0,0.0,0.0,6.987,6.81,8.3,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,8.3,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.902,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.334,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.213
