H,H,H,H,H,H,H,H,H,H,H,H
2.736,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.736,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.191,4.988,0.0,0.0,0.0,0.0,4.108,0.0,0.0
0.0,0.0,0.0,0.0,7.495,0.0,0.0,0.0,0.0,1.154,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.797,1.5,8.739,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.797,0.0,8.739,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.511,1.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.511,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.538,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233
