H,H,H,H,H,H,H,H,H,H,H,H
3.896,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.896,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.092,-14.0,6.622,6.622,6.622,6.622,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.092,6.622,6.622,6.622,6.622,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.652,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.652,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.968,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.951,8.672,1.336
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.929,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.94
