H,H,H,H,H,H,H,H,H,H,H,H,H,H
1.583,-14.0,6.14,6.2,6.14,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.583,6.2,6.14,6.2,6.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.741,-14.0,0.0,0.0,0.0,0.0,0.0,5.968,5.968,0.0,0.0,0.0
0.0,0.0,0.0,1.741,0.0,0.0,0.0,0.0,0.0,5.968,5.968,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.741,-14.0,0.0,0.0,0.0,0.0,0.0,5.968,5.968,0.0
0.0,0.0,0.0,0.0,0.0,1.741,0.0,0.0,0.0,0.0,0.0,5.968,5.968,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.415,7.731,7.731,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.494,2.096,0.0,0.0,0.0,0.0,1.103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.288,0.0,0.0,0.0,0.0,2.033
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.154,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.604
