H,H,H,H,H,H,H,H,H,H,H,H
7.188,8.744,8.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.58,1.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488
0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
0.0,0.0,0.0,3.885,-14.0,0.0,0.0,4.961,4.961,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.885,0.0,0.0,4.961,4.961,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.885,-14.0,0.0,0.0,4.961,4.961,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.885,0.0,0.0,4.961,4.961,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.55
