H,H,H,H,H,H,H,H,H,H,H
7.305,7.94,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.439,1.5,7.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.439,0.0,7.508,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.521,1.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.521,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.584,0.0,0.0,11.807,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.563,-14.0,0.0,7.704,7.704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.563,0.0,7.704,7.704
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.459,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.032,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.032
