H,H,H,H,H,H,H,H,H,H,H,H,H,H
1.994,-14.0,7.431,7.431,0.0,0.0,0.0,9.902,4.951,0.0,0.0,0.0,0.0,0.0
0.0,1.994,7.431,7.431,0.0,0.0,0.0,4.951,9.902,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.994,-14.0,0.0,0.0,0.0,0.0,0.0,9.902,4.951,0.0,0.0,0.0
0.0,0.0,0.0,1.994,0.0,0.0,0.0,0.0,0.0,4.951,9.902,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.348,8.038,8.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.811,1.5,0.0,0.0,0.0,0.0,1.493,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.811,0.0,0.0,0.0,0.0,1.493,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.785,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122
