H,H,H,H,H,H,H,H,H,H,H,H
2.771,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.771,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.544,0.0,0.0,0.0,0.0,5.269,5.269,0.0,0.0
0.0,0.0,0.0,0.0,8.216,1.5,8.585,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.216,0.0,8.585,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.659,1.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.659,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.901,1.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.901,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32
