H,H,H,H,H,H,H,H,H,H,H
7.147,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.063
0.0,7.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.358,1.5,0.0,0.0,5.506,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.358,0.0,0.0,0.0,5.506,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2.98,-14.0,0.0,0.0,6.979,6.979,0.0
0.0,0.0,0.0,0.0,0.0,2.98,0.0,0.0,6.979,6.979,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.397,1.5,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.397,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.679,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.679,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.675
