H,H,H,H,H,H,H,H,H,H,H,H,H
2.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.057,-14.0,-14.0,0.0,0.0,0.0,8.038,8.038,0.0,0.0,0.0,0.0
0.0,0.0,1.057,-14.0,0.0,0.0,0.0,8.038,8.038,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.057,0.0,0.0,0.0,8.038,8.038,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.057,-14.0,-14.0,0.0,0.0,8.038,8.038,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.057,-14.0,0.0,0.0,8.038,8.038,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.057,0.0,0.0,8.038,8.038,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,-14.036,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.837,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889,-14.036,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.837,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.107,5.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.508
