H,H,H,H,H,H,H,H,H,H,H,H,H
1.365,-14.0,-14.0,7.335,7.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.365,-14.0,7.335,7.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.365,7.335,7.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.15,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.319,7.873,7.873,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.049,0.0,7.873,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.244,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.152,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898,-14.0,7.758,7.758
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898,7.758,7.758
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.514,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.514
