H,H,H,H,H,H,H,H,H,H,H,H,H
2.208,-14.0,0.0,0.0,6.697,6.697,0.0,0.0,6.697,6.697,0.0,0.0,0.0
0.0,2.208,0.0,0.0,6.697,6.697,0.0,0.0,6.697,6.697,0.0,0.0,0.0
0.0,0.0,2.208,-14.0,0.0,0.0,6.702,6.702,0.0,0.0,6.702,6.702,0.0
0.0,0.0,0.0,2.208,0.0,0.0,6.702,6.702,0.0,0.0,6.702,6.702,0.0
0.0,0.0,0.0,0.0,2.767,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.767,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.767,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157,-14.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.157,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.732
