H,H,H,H,H,H,H,H,H,H,H
7.233,7.503,0.0,0.0,0.0,0.0,8.117,0.0,0.0,0.0,0.0
0.0,7.15,0.0,0.0,0.0,0.0,0.0,8.117,0.0,0.0,0.0
0.0,0.0,1.937,-14.0,8.113,8.113,0.0,0.0,7.737,7.737,0.0
0.0,0.0,0.0,1.937,8.113,8.113,0.0,0.0,7.737,7.737,0.0
0.0,0.0,0.0,0.0,2.777,-14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.777,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.493,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.708,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,-14.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.214
