H,H,H,H,H,H,H,H,H,H,H
3.813,-11.5,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.813,-11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.791,8.2,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.123,1.661,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.321,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.559,16.006,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-11.5,-11.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,-11.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7
