H,H,H,H,H,H,H,H,H,H,H,H
3.216,-14.7,5.909,5.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.217,5.909,5.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.119,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.041,-12.4,7.4,7.4,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.041,7.4,7.4,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.041,-12.4,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.041,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.216,-14.7,5.909,5.909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.217,5.909,5.909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119,-14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.119
