H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H
7.774,0.0,0.0,0.0,10.076,10.076,0.0,0.0,0.0,0.0,0.0,0.0,1.434,1.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.772,0.0,0.0,0.0,0.0,8.274,8.274,0.0,0.0,0.0,0.0,0.0,0.0,1.333,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.773,0.0,0.0,0.0,0.0,0.0,8.535,8.535,0.0,0.0,0.0,0.0,0.0,0.0,1.335,1.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,7.775,0.0,0.0,0.0,0.0,0.0,0.0,9.926,9.926,0.0,0.0,0.0,0.0,0.0,0.0,1.445,1.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.744,1.285,0.0,0.0,0.0,0.0,0.0,0.0,7.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.745,1.366,0.0,0.0,0.0,0.0,0.0,0.0,8.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744,1.285,0.0,0.0,0.0,0.0,0.0,0.0,7.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744,1.285,0.0,0.0,0.0,0.0,0.0,0.0,7.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.223,1.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
