ppm,val
-2.205952,-0.000285
-2.205738,-0.000283
-2.205524,-0.000283
-2.205310,-0.000283
-2.205097,-0.000287
-2.204883,-0.000302
-2.204669,-0.000330
-2.204455,-0.000356
-2.204241,-0.000363
-2.204028,-0.000349
-2.203814,-0.000338
-2.203600,-0.000355
-2.203386,-0.000397
-2.203173,-0.000437
-2.202959,-0.000449
-2.202745,-0.000427
-2.202531,-0.000387
-2.202317,-0.000351
-2.202104,-0.000335
-2.201890,-0.000335
-2.201676,-0.000337
-2.201462,-0.000338
-2.201249,-0.000348
-2.201035,-0.000374
-2.200821,-0.000414
-2.200607,-0.000463
-2.200393,-0.000516
-2.200180,-0.000565
-2.199966,-0.000592
-2.199752,-0.000587
-2.199538,-0.000561
-2.199325,-0.000537
-2.199111,-0.000527
-2.198897,-0.000525
-2.198683,-0.000520
-2.198469,-0.000505
-2.198256,-0.000474
-2.198042,-0.000436
-2.197828,-0.000413
-2.197614,-0.000414
-2.197401,-0.000423
-2.197187,-0.000411
-2.196973,-0.000376
-2.196759,-0.000346
-2.196546,-0.000341
-2.196332,-0.000353
-2.196118,-0.000368
-2.195904,-0.000382
-2.195690,-0.000399
-2.195477,-0.000416
-2.195263,-0.000434
-2.195049,-0.000451
-2.194835,-0.000468
-2.194622,-0.000481
-2.194408,-0.000492
-2.194194,-0.000500
-2.193980,-0.000492
-2.193766,-0.000454
-2.193553,-0.000397
-2.193339,-0.000354
-2.193125,-0.000343
-2.192911,-0.000353
-2.192698,-0.000363
-2.192484,-0.000371
-2.192270,-0.000382
-2.192056,-0.000395
-2.191842,-0.000408
-2.191629,-0.000428
-2.191415,-0.000454
-2.191201,-0.000466
-2.190987,-0.000449
-2.190774,-0.000415
-2.190560,-0.000389
-2.190346,-0.000376
-2.190132,-0.000360
-2.189918,-0.000341
-2.189705,-0.000335
-2.189491,-0.000348
-2.189277,-0.000360
-2.189063,-0.000354
-2.188850,-0.000339
-2.188636,-0.000335
-2.188422,-0.000345
-2.188208,-0.000358
-2.187994,-0.000365
-2.187781,-0.000371
-2.187567,-0.000377
-2.187353,-0.000381
-2.187139,-0.000375
-2.186926,-0.000356
-2.186712,-0.000331
-2.186498,-0.000310
-2.186284,-0.000303
-2.186070,-0.000308
-2.185857,-0.000321
-2.185643,-0.000339
-2.185429,-0.000362
-2.185215,-0.000387
-2.185002,-0.000403
-2.184788,-0.000405
-2.184574,-0.000397
-2.184360,-0.000385
-2.184146,-0.000372
-2.183933,-0.000358
-2.183719,-0.000346
-2.183505,-0.000339
-2.183291,-0.000335
-2.183078,-0.000325
-2.182864,-0.000309
-2.182650,-0.000298
-2.182436,-0.000303
-2.182222,-0.000321
-2.182009,-0.000337
-2.181795,-0.000343
-2.181581,-0.000342
-2.181367,-0.000345
-2.181154,-0.000356
-2.180940,-0.000380
-2.180726,-0.000418
-2.180512,-0.000467
-2.180298,-0.000509
-2.180085,-0.000520
-2.179871,-0.000498
-2.179657,-0.000458
-2.179443,-0.000420
-2.179230,-0.000392
-2.179016,-0.000373
-2.178802,-0.000362
-2.178588,-0.000358
-2.178374,-0.000358
-2.178161,-0.000355
-2.177947,-0.000345
-2.177733,-0.000334
-2.177519,-0.000323
-2.177306,-0.000313
-2.177092,-0.000307
-2.176878,-0.000305
-2.176664,-0.000311
-2.176450,-0.000324
-2.176237,-0.000341
-2.176023,-0.000353
-2.175809,-0.000359
-2.175595,-0.000365
-2.175382,-0.000378
-2.175168,-0.000393
-2.174954,-0.000397
-2.174740,-0.000386
-2.174526,-0.000373
-2.174313,-0.000370
-2.174099,-0.000380
-2.173885,-0.000394
-2.173671,-0.000409
-2.173458,-0.000423
-2.173244,-0.000432
-2.173030,-0.000430
-2.172816,-0.000423
-2.172602,-0.000419
-2.172389,-0.000418
-2.172175,-0.000410
-2.171961,-0.000388
-2.171747,-0.000357
-2.171534,-0.000330
-2.171320,-0.000319
-2.171106,-0.000326
-2.170892,-0.000345
-2.170678,-0.000367
-2.170465,-0.000381
-2.170251,-0.000384
-2.170037,-0.000373
-2.169823,-0.000349
-2.169610,-0.000318
-2.169396,-0.000290
-2.169182,-0.000273
