ppm,val
-1.211229,0.000363
-1.210862,0.000363
-1.210496,0.000368
-1.210129,0.000372
-1.209762,0.000367
-1.209396,0.000352
-1.209029,0.000334
-1.208662,0.000319
-1.208296,0.000310
-1.207929,0.000304
-1.207562,0.000300
-1.207196,0.000299
-1.206829,0.000305
-1.206462,0.000315
-1.206096,0.000325
-1.205729,0.000329
-1.205362,0.000332
-1.204996,0.000335
-1.204629,0.000338
-1.204262,0.000341
-1.203896,0.000349
-1.203529,0.000361
-1.203162,0.000372
-1.202796,0.000375
-1.202429,0.000365
-1.202062,0.000349
-1.201695,0.000336
-1.201329,0.000331
-1.200962,0.000329
-1.200595,0.000328
-1.200229,0.000323
-1.199862,0.000312
-1.199495,0.000299
-1.199129,0.000287
-1.198762,0.000283
-1.198395,0.000286
-1.198029,0.000290
-1.197662,0.000287
-1.197295,0.000273
-1.196929,0.000252
-1.196562,0.000232
-1.196195,0.000221
-1.195829,0.000221
-1.195462,0.000229
-1.195095,0.000242
-1.194729,0.000260
-1.194362,0.000280
-1.193995,0.000298
-1.193629,0.000311
-1.193262,0.000321
-1.192895,0.000332
-1.192528,0.000343
-1.192162,0.000351
-1.191795,0.000353
-1.191428,0.000349
-1.191062,0.000343
-1.190695,0.000332
-1.190328,0.000318
-1.189962,0.000306
-1.189595,0.000300
-1.189228,0.000298
-1.188862,0.000293
-1.188495,0.000281
-1.188128,0.000266
-1.187762,0.000249
-1.187395,0.000230
-1.187028,0.000214
-1.186662,0.000202
-1.186295,0.000194
-1.185928,0.000191
-1.185562,0.000193
-1.185195,0.000203
-1.184828,0.000216
-1.184462,0.000227
-1.184095,0.000236
-1.183728,0.000249
-1.183362,0.000268
-1.182995,0.000292
-1.182628,0.000317
-1.182261,0.000341
-1.181895,0.000362
-1.181528,0.000377
-1.181161,0.000390
-1.180795,0.000398
-1.180428,0.000402
-1.180061,0.000400
-1.179695,0.000396
-1.179328,0.000392
-1.178961,0.000386
-1.178595,0.000376
-1.178228,0.000362
-1.177861,0.000345
-1.177495,0.000327
-1.177128,0.000309
-1.176761,0.000297
-1.176395,0.000290
-1.176028,0.000286
-1.175661,0.000283
-1.175295,0.000283
-1.174928,0.000288
-1.174561,0.000296
-1.174195,0.000301
-1.173828,0.000302
-1.173461,0.000301
-1.173095,0.000300
-1.172728,0.000296
-1.172361,0.000287
-1.171994,0.000275
-1.171628,0.000266
-1.171261,0.000265
-1.170894,0.000270
-1.170528,0.000279
-1.170161,0.000288
-1.169794,0.000296
-1.169428,0.000302
-1.169061,0.000306
-1.168694,0.000302
-1.168328,0.000285
-1.167961,0.000256
-1.167594,0.000222
-1.167228,0.000190
-1.166861,0.000168
-1.166494,0.000155
-1.166128,0.000141
-1.165761,0.000126
-1.165394,0.000116
-1.165028,0.000115
-1.164661,0.000125
-1.164294,0.000142
-1.163928,0.000161
-1.163561,0.000175
-1.163194,0.000179
-1.162828,0.000177
-1.162461,0.000178
-1.162094,0.000186
-1.161727,0.000199
-1.161361,0.000214
-1.160994,0.000227
-1.160627,0.000237
-1.160261,0.000243
-1.159894,0.000244
-1.159527,0.000243
-1.159161,0.000246
-1.158794,0.000258
-1.158427,0.000276
-1.158061,0.000292
-1.157694,0.000304
-1.157327,0.000313
-1.156961,0.000319
-1.156594,0.000320
-1.156227,0.000316
-1.155861,0.000306
-1.155494,0.000290
-1.155127,0.000274
-1.154761,0.000264
-1.154394,0.000264
-1.154027,0.000271
-1.153661,0.000276
-1.153294,0.000276
-1.152927,0.000267
-1.152561,0.000253
-1.152194,0.000234
-1.151827,0.000214
-1.151460,0.000194
-1.151094,0.000183
-1.150727,0.000183
-1.150360,0.000193
-1.149994,0.000206
-1.149627,0.000215
-1.149260,0.000218
-1.148894,0.000215
-1.148527,0.000208
-1.148160,0.000201
-1.147794,0.000196
-1.147427,0.000191
-1.147060,0.000188
-1.146694,0.000193
-1.146327,0.000210
-1.145960,0.000232
-1.145594,0.000252
-1.145227,0.000261
-1.144860,0.000253
-1.144494,0.000234
-1.144127,0.000208
-1.143760,0.000180
-1.143394,0.000154
-1.143027,0.000133
-1.142660,0.000122
-1.142294,0.000126
-1.141927,0.000143
-1.141560,0.000163
-1.141193,0.000177
-1.140827,0.000184
-1.140460,0.000185
-1.140093,0.000184
-1.139727,0.000184
-1.139360,0.000184
-1.138993,0.000175
-1.138627,0.000161
